,level,type,code,name,city_code,city_name,dist_code,dist_name,region_code,region_name
61,4,settlement,0100300002300,Хатукай,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
62,4,settlement,0100300002400,Чумаков,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
63,4,settlement,0100300002500,Штурбино,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
64,4,settlement,0100300002700,Ягодка,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
65,4,settlement,0100300002800,Утро,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
66,2,district,0100400000000,Майкопский,,,0100400000000,Майкопский,0100000000000,['0100000000000' 'Республика Адыгея']
67,4,settlement,0100400000100,Тульский,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
68,4,settlement,0100400000200,Абадзехская,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
69,4,settlement,0100400000300,Безводная,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
70,4,settlement,0100400000400,Веселый,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
71,4,settlement,0100400000500,Веселый,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
72,4,settlement,0100400000600,Вольный,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
73,4,settlement,0100400000700,Гражданский,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
74,4,settlement,0100400000800,Грозный,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
75,4,settlement,0100400000900,Грозный,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
76,4,settlement,0100400001000,Гузерипль,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
77,4,settlement,0100400001100,Дагестанская,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
78,4,settlement,0100400001200,Даховская,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
79,4,settlement,0100400001300,Дьяков,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
80,4,settlement,0100400001400,Калинин,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
81,4,settlement,0100400001500,Каменномостский,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
82,4,settlement,0100400001600,Кармир-Астх,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
83,4,settlement,0100400001700,Никель,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
84,4,settlement,0100400001800,Коминтерн,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
85,4,settlement,0100400001900,Красная Улька,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
86,4,settlement,0100400002000,Краснооктябрьский,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
87,4,settlement,0100400002100,Красный Мост,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
88,4,settlement,0100400002300,Кужорская,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
89,4,settlement,0100400002400,Курджипская,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
90,4,settlement,0100400002600,Махошеполяна,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
91,4,settlement,0100400002700,Меркулаевка,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
92,4,settlement,0100400002800,Мирный,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
93,4,settlement,0100400002900,Мичурина,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
94,4,settlement,0100400003100,Новопрохладное,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
95,4,settlement,0100400003200,Новосвободная,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
96,4,settlement,0100400003300,Октябрьский,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
97,4,settlement,0100400003400,17 лет Октября,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
98,4,settlement,0100400003500,Первомайский,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
99,4,settlement,0100400003600,Победа,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
100,4,settlement,0100400003700,Победа,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
101,4,settlement,0100400003800,Подгорный,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
102,4,settlement,0100400003900,Приречный,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
103,4,settlement,0100400004000,Причтовский,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
104,4,settlement,0100400004100,Пролетарский,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
105,4,settlement,0100400004200,Садовый,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
106,4,settlement,0100400004300,Садовый,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
107,4,settlement,0100400004400,Севастопольская,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
108,4,settlement,0100400004500,Северо-Восточные Сады,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
109,4,settlement,0100400004600,Советский,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
110,4,settlement,0100400004700,Совхозный,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
111,4,settlement,0100400004800,Спокойный,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
112,4,settlement,0100400004900,Табачный,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
113,4,settlement,0100400005000,Тимирязева,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
114,4,settlement,0100400005100,Ткачев,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
115,4,settlement,0100400005200,Трехречный,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
116,4,settlement,0100400005300,Удобный,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
117,4,settlement,0100400005400,Усть-Сахрай,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
118,4,settlement,0100400005500,Хамышки,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
119,4,settlement,0100400005600,Хакодзь,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
120,4,settlement,0100400005700,Цветочный,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
121,4,settlement,0100400005800,Шаумян,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
122,4,settlement,0100400006000,Шунтук,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
123,4,settlement,0100400006200,Мафэхабль,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
124,4,settlement,0100400006300,Учебное лесничество,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
125,4,settlement,0100400007300,Приозерное,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
126,2,district,0100500000000,Тахтамукайский,,,0100500000000,Тахтамукайский,0100000000000,['0100000000000' 'Республика Адыгея']
127,4,settlement,0100500000100,Тахтамукай,,,0100500000000,Тахтамукайский,0100000000000,Республика Адыгея
128,4,settlement,0100500000200,Апостолиди,,,0100500000000,Тахтамукайский,0100000000000,Республика Адыгея
129,4,settlement,0100500000300,Афипсип,,,0100500000000,Тахтамукайский,0100000000000,Республика Адыгея
130,4,settlement,0100500000400,Дружный,,,0100500000000,Тахтамукайский,0100000000000,Республика Адыгея
131,4,settlement,0100500000500,Козет,,,0100500000000,Тахтамукайский,0100000000000,Республика Адыгея
132,4,settlement,0100500000600,Красноармейский,,,0100500000000,Тахтамукайский,0100000000000,Республика Адыгея
133,4,settlement,0100500000700,Кубаньстрой,,,0100500000000,Тахтамукайский,0100000000000,Республика Адыгея
134,4,settlement,0100500000800,Натухай,,,0100500000000,Тахтамукайский,0100000000000,Республика Адыгея
135,4,settlement,0100500000900,Новая Адыгея,,,0100500000000,Тахтамукайский,0100000000000,Республика Адыгея
136,4,settlement,0100500001000,Новобжегокай,,,0100500000000,Тахтамукайский,0100000000000,Республика Адыгея
137,4,settlement,0100500001100,Новомогилевский,,,0100500000000,Тахтамукайский,0100000000000,Республика Адыгея
138,4,settlement,0100500001200,Новый,,,0100500000000,Тахтамукайский,0100000000000,Республика Адыгея
139,4,settlement,0100500001300,Новый Сад,,,0100500000000,Тахтамукайский,0100000000000,Республика Адыгея
140,4,settlement,0100500001400,Отрадный,,,0100500000000,Тахтамукайский,0100000000000,Республика Адыгея
141,4,settlement,0100500001500,Панахес,,,0100500000000,Тахтамукайский,0100000000000,Республика Адыгея
142,4,settlement,0100500001600,Перекатный,,,0100500000000,Тахтамукайский,0100000000000,Республика Адыгея
